id,area,stage,quadrat_number
1_1,1,1,1
1_2,1,1,2
1_3,1,1,3
1_4,1,1,4
13_1,13,1,1
13_2,13,1,2
13_3,13,1,3
13_4,13,1,4
15_1,15,1,1
18_1,18,4,1
18_2,18,4,2
19_1,19,2,1
19_2,19,2,2
19_3,19,2,3
19_4,19,2,4
20_1,20,3,1
20_2,20,3,2
20_3,20,3,3
20_4,20,3,4
21_1,21,3,1
21_2,21,3,2
22_1,22,3,1
22_2,22,3,2
23_1,23,2,1
23_2,23,2,2
23_3,23,2,3
23_4,23,2,4
23_5,23,2,5
23_6,23,2,6
24_1,24,2,1
24_4,24,2,4
25_1,25,4,1
25_2,25,4,2
25_3,25,4,3
26_1,26,4,1
26_2,26,4,2
26_3,26,4,3
27_1,27,3,1
4_1,4,1,1
4_2,4,1,2
4_3,4,1,3
4_4,4,1,4
